date,platform,campaign_type,industry,country,impressions,clicks,ad_spend,conversions,revenue
2024-01-07,Google Ads,Shopping,EdTech,UAE,73803,1505,3190.6,98,18709.86
2024-01-07,Meta Ads,Video,Healthcare,Germany,98944,1850,2627.0,78,17285.68
2024-01-07,Google Ads,Video,Fintech,UAE,32476,1136,1863.04,86,21754.11
2024-01-07,Google Ads,Video,E-commerce,Germany,25080,1113,2916.06,49,2232.61
2024-01-07,Google Ads,Shopping,EdTech,USA,73305,3635,9014.8,47,2210.35
2024-01-07,TikTok Ads,Search,Healthcare,UK,166711,13670,20505.0,592,43676.76
2024-01-07,Google Ads,Video,E-commerce,UK,33433,1698,4975.14,60,4216.81
2024-01-07,Meta Ads,Video,EdTech,Germany,94440,2219,4282.67,156,39424.24
2024-01-08,Google Ads,Search,Fintech,India,63243,1707,3823.68,37,3893.12
2024-01-08,Google Ads,Display,EdTech,USA,132600,6802,10407.06,97,6779.29
2024-01-08,TikTok Ads,Search,Fintech,UK,162795,8107,7782.72,575,86383.64
2024-01-08,Meta Ads,Video,EdTech,UK,127775,3871,2941.96,159,28717.22
2024-01-09,TikTok Ads,Search,Healthcare,Germany,96310,6905,8838.4,247,8632.99
2024-01-09,Google Ads,Search,SaaS,Australia,53544,1670,2354.7,20,4659.21
2024-01-09,Google Ads,Video,Fintech,UK,108510,3721,5246.61,116,23480.01
2024-01-10,Google Ads,Video,SaaS,UK,170268,7917,24859.38,98,22672.12
2024-01-10,Meta Ads,Shopping,Healthcare,UAE,73323,1928,3296.88,121,33634.99
2024-01-10,Meta Ads,Video,Fintech,Australia,51698,1307,2561.72,91,15551.2
2024-01-10,Google Ads,Video,Healthcare,Australia,131031,6092,17910.48,482,116431.98
2024-01-10,Meta Ads,Search,SaaS,UK,175574,6935,4785.15,515,69264.33
2024-01-10,Meta Ads,Shopping,EdTech,USA,62284,1413,1497.78,88,10561.64
2024-01-11,TikTok Ads,Video,Healthcare,Germany,108145,3882,3649.08,98,28726.52
2024-01-11,Meta Ads,Video,EdTech,UK,152977,5491,7412.85,147,9232.39
2024-01-11,Google Ads,Search,Healthcare,Germany,48351,2156,6812.96,83,7504.87
2024-01-11,TikTok Ads,Display,Fintech,UK,146587,5995,9112.4,161,27684.26
2024-01-11,Meta Ads,Shopping,SaaS,USA,144993,2783,4091.01,120,10562.14
2024-01-12,Meta Ads,Video,E-commerce,Canada,104657,4029,2860.59,204,10401.62
2024-01-12,Google Ads,Search,Fintech,India,124273,3603,5584.65,167,20460.25
2024-01-12,Meta Ads,Video,Healthcare,UK,62676,595,1439.9,32,1319.08
2024-01-12,Meta Ads,Video,SaaS,Australia,176250,6204,4032.6,312,84311.3
2024-01-12,Meta Ads,Display,EdTech,Canada,182011,1911,1051.05,35,3848.31
2024-01-13,Meta Ads,Shopping,SaaS,India,24404,710,433.1,10,923.15
2024-01-13,Meta Ads,Video,E-commerce,UK,138686,2621,3983.92,195,52398.49
2024-01-13,TikTok Ads,Shopping,SaaS,India,83871,6382,6701.1,196,31406.57
2024-01-13,Meta Ads,Display,E-commerce,UK,70180,736,1030.4,45,2168.72
2024-01-14,TikTok Ads,Search,SaaS,India,85428,5134,4415.24,202,37603.74
2024-01-14,Meta Ads,Display,EdTech,India,171020,2616,1151.04,41,9636.88
2024-01-15,Google Ads,Search,SaaS,Canada,43098,1620,4422.6,39,7135.44
2024-01-15,Google Ads,Display,Fintech,Canada,55406,2648,5031.2,149,22127.3
2024-01-15,Meta Ads,Search,EdTech,Germany,113269,3182,4868.46,185,53909.5
2024-01-15,Google Ads,Display,E-commerce,UK,62320,3857,3895.57,158,17905.2
2024-01-15,Google Ads,Search,E-commerce,India,91348,2914,5041.22,98,14981.67
2024-01-16,Meta Ads,Video,Fintech,USA,143421,3542,3046.12,181,26273.04
2024-01-16,Google Ads,Shopping,SaaS,UAE,31783,781,905.96,49,4886.84
2024-01-16,Meta Ads,Shopping,E-commerce,UK,167893,4432,2570.56,66,15989.78
2024-01-16,Google Ads,Search,Healthcare,UK,175381,4226,3845.66,204,11471.83
2024-01-16,TikTok Ads,Shopping,SaaS,Australia,55701,4138,1406.92,229,20016.59
2024-01-16,Google Ads,Search,EdTech,Germany,192593,4949,9056.67,172,20836.16
2024-01-16,TikTok Ads,Shopping,SaaS,Germany,88940,4384,1402.88,66,10447.12
2024-01-16,TikTok Ads,Video,E-commerce,Australia,62868,2715,4344.0,180,35590.01
2024-01-17,TikTok Ads,Video,SaaS,India,58521,3318,6138.3,39,10013.26
2024-01-17,TikTok Ads,Video,EdTech,UAE,188846,12671,17359.27,821,86047.94
2024-01-17,Meta Ads,Shopping,E-commerce,Germany,62033,2667,2933.7,135,14288.2
2024-01-17,Google Ads,Video,Fintech,Canada,49109,1203,3921.78,25,4734.61
2024-01-17,Meta Ads,Video,EdTech,Germany,190928,5078,7363.1,186,47430.11
2024-01-17,Meta Ads,Search,EdTech,Australia,100343,3461,3737.88,259,51755.16
2024-01-17,Meta Ads,Shopping,Healthcare,Canada,185750,1653,2148.9,34,2916.11
2024-01-17,Google Ads,Shopping,Fintech,UK,100552,3861,7374.51,57,14567.86
2024-01-17,TikTok Ads,Search,SaaS,Canada,115716,7394,8577.04,242,49142.56
2024-01-18,Google Ads,Shopping,E-commerce,UAE,76792,3317,10282.7,262,42043.84
2024-01-18,Google Ads,Display,E-commerce,Australia,55248,1646,4279.6,43,12311.15
2024-01-18,Meta Ads,Shopping,Healthcare,UAE,84830,2612,5171.76,84,6284.59
2024-01-18,TikTok Ads,Video,EdTech,UK,172820,5512,8268.0,229,38190.22
2024-01-18,TikTok Ads,Search,E-commerce,India,168616,6508,6638.16,508,151081.09
2024-01-18,Meta Ads,Video,Fintech,Canada,84712,1473,3343.71,74,3310.43
2024-01-18,Meta Ads,Video,Fintech,UK,72278,2421,3123.09,26,5625.44
2024-01-19,Meta Ads,Video,EdTech,India,43467,991,1882.9,25,3146.23
2024-01-19,Google Ads,Shopping,Fintech,UK,55075,3056,7212.16,156,5145.31
2024-01-19,TikTok Ads,Search,E-commerce,USA,179561,8600,12384.0,212,34386.07
2024-01-19,Meta Ads,Shopping,Healthcare,USA,173292,7330,13780.4,355,66981.68
2024-01-19,Google Ads,Search,Healthcare,UAE,82764,2276,2071.16,130,22792.2
2024-01-20,Google Ads,Display,Healthcare,USA,122322,6152,7566.96,155,10417.89
2024-01-20,Google Ads,Display,E-commerce,Canada,181687,8321,26127.94,651,189283.47
2024-01-20,Meta Ads,Shopping,Healthcare,UK,147897,2144,4159.36,24,3826.61
2024-01-20,TikTok Ads,Display,Fintech,India,29180,1464,775.92,59,11729.57
2024-01-20,TikTok Ads,Video,Fintech,USA,153145,7197,7340.94,89,6214.05
2024-01-21,Google Ads,Search,Fintech,UAE,59886,2113,2662.38,159,4803.43
2024-01-21,TikTok Ads,Display,SaaS,Germany,92273,6237,8794.17,291,72065.02
2024-01-21,Meta Ads,Display,E-commerce,Germany,161646,5253,5253.0,228,43732.39
2024-01-21,TikTok Ads,Shopping,EdTech,UAE,119944,9331,5691.91,717,101587.49
2024-01-21,TikTok Ads,Search,Healthcare,Canada,160522,5425,6021.75,398,79057.93
2024-01-21,Google Ads,Display,EdTech,Australia,186465,8689,21027.38,367,57833.06
2024-01-21,Google Ads,Display,Healthcare,Australia,154239,7465,23888.0,484,25632.04
2024-01-22,TikTok Ads,Search,EdTech,UK,135608,5220,6159.6,411,64126.68
2024-01-22,Google Ads,Shopping,Fintech,USA,28387,672,2231.04,41,7232.57
2024-01-22,Google Ads,Display,EdTech,UAE,85077,4032,11450.88,253,13168.69
2024-01-22,Meta Ads,Display,Healthcare,USA,197882,5144,4166.64,299,68061.76
2024-01-22,Meta Ads,Search,Fintech,USA,80507,2318,1645.78,119,23887.12
2024-01-22,TikTok Ads,Display,Healthcare,Canada,120409,8356,8021.76,663,50787.7
2024-01-22,Google Ads,Shopping,Fintech,Australia,153953,5095,14571.7,110,30634.7
2024-01-22,TikTok Ads,Shopping,Fintech,Germany,5059,415,302.95,4,798.87
2024-01-23,Meta Ads,Shopping,SaaS,Australia,90716,3002,4412.94,194,39560.54
2024-01-23,Google Ads,Search,Healthcare,India,57979,2081,3933.09,148,18788.47
2024-01-23,Google Ads,Search,Fintech,Germany,7948,289,598.23,6,1368.08
2024-01-24,Google Ads,Shopping,Fintech,Australia,31325,858,1818.96,43,2004.67
2024-01-24,TikTok Ads,Shopping,EdTech,UK,79967,2327,2443.35,43,11334.87
2024-01-24,Meta Ads,Search,Healthcare,India,191478,6414,10069.98,236,56534.15
2024-01-24,TikTok Ads,Shopping,SaaS,Germany,107262,5127,6357.48,343,93405.13
2024-01-25,Google Ads,Video,Fintech,USA,184316,4091,4254.64,309,82363.46
2024-01-25,Google Ads,Search,Healthcare,UAE,50203,1390,2710.5,47,11338.98
2024-01-25,TikTok Ads,Display,SaaS,UK,42706,2084,3313.56,35,4766.32
2024-01-25,TikTok Ads,Search,E-commerce,India,46420,1880,3572.0,113,5769.59
2024-01-25,Google Ads,Search,E-commerce,Australia,92185,3779,6121.98,82,11861.33
2024-01-25,Meta Ads,Search,Healthcare,India,27499,728,778.96,17,3860.75
2024-01-25,Google Ads,Search,EdTech,Germany,122959,3553,5933.51,133,11079.66
2024-01-26,TikTok Ads,Shopping,SaaS,Germany,34118,1470,1249.5,55,3037.11
2024-01-26,Meta Ads,Search,Healthcare,USA,177593,1811,1430.69,128,17092.48
2024-01-27,Meta Ads,Display,E-commerce,Australia,176459,3670,7009.7,65,2483.8
2024-01-27,TikTok Ads,Video,SaaS,UAE,196889,9568,8898.24,137,34964.66
2024-01-27,Google Ads,Search,EdTech,UAE,143183,5784,4974.24,432,88233.11
2024-01-27,TikTok Ads,Search,Healthcare,Canada,69198,3529,1940.95,256,15199.33
2024-01-27,Meta Ads,Search,E-commerce,Australia,30123,554,986.12,15,2874.83
2024-01-27,Meta Ads,Search,Fintech,Canada,128556,4910,4320.8,55,10684.27
2024-01-27,Google Ads,Display,Healthcare,UK,86362,2547,3591.27,164,33307.3
2024-01-27,Google Ads,Search,Fintech,India,79432,4130,9457.7,311,59366.41
2024-01-28,Google Ads,Video,Fintech,Australia,193978,5780,9999.4,177,42071.17
2024-01-28,TikTok Ads,Shopping,EdTech,USA,34063,1243,472.34,40,10897.53
2024-01-28,Google Ads,Display,E-commerce,Australia,38005,1489,2248.39,79,23043.93
2024-01-28,Meta Ads,Search,EdTech,UAE,113878,3678,3383.76,216,62162.63
2024-01-28,TikTok Ads,Display,Healthcare,India,104626,9144,10058.4,389,83739.39
2024-01-28,Meta Ads,Display,Healthcare,Canada,93966,2104,2040.88,157,6975.9
2024-01-29,Google Ads,Video,SaaS,Germany,16781,684,889.2,8,1435.11
2024-01-29,Google Ads,Video,Fintech,UK,82462,3916,8223.6,199,48785.37
2024-01-29,Google Ads,Display,EdTech,USA,168471,6014,5833.58,117,25231.33
2024-01-29,Meta Ads,Search,Fintech,UK,56534,1079,647.4,27,4508.39
2024-01-29,Meta Ads,Display,EdTech,UK,77447,906,1041.9,29,8284.13
2024-01-30,TikTok Ads,Video,Fintech,India,48147,3562,1496.04,163,41382.29
2024-01-30,Meta Ads,Video,Healthcare,Australia,57776,1490,1758.2,107,22435.51
2024-01-30,Google Ads,Display,EdTech,USA,44435,1453,3894.04,48,6345.04
2024-01-30,Meta Ads,Display,Fintech,UAE,166155,6048,8830.08,260,28494.38
2024-01-30,Google Ads,Video,SaaS,Australia,89052,2591,9483.06,190,12653.72
2024-01-30,Google Ads,Search,Fintech,Canada,187156,3986,9526.54,269,34393.23
2024-01-31,TikTok Ads,Shopping,Fintech,UAE,127790,7015,8628.45,422,90118.48
2024-01-31,Google Ads,Display,Fintech,Canada,64739,1599,5212.74,109,22723.24
2024-01-31,TikTok Ads,Shopping,SaaS,India,174668,10916,6877.08,310,37599.64
2024-01-31,Meta Ads,Search,Fintech,UK,153157,5498,9896.4,401,90694.52
2024-02-01,Meta Ads,Video,EdTech,USA,65942,2044,2146.2,48,6784.27
2024-02-01,Google Ads,Video,EdTech,USA,48790,2824,3671.2,178,37847.71
2024-02-01,Google Ads,Search,SaaS,UK,73681,4457,7888.89,95,11815.26
2024-02-01,TikTok Ads,Video,Healthcare,Australia,184504,15479,12383.2,538,112251.74
2024-02-01,Meta Ads,Search,E-commerce,UK,63528,711,1059.39,23,4567.68
2024-02-01,TikTok Ads,Shopping,Fintech,India,95288,7108,3625.08,454,132401.61
2024-02-02,Google Ads,Display,E-commerce,USA,65530,2018,5670.58,117,12114.63
2024-02-02,Google Ads,Shopping,Healthcare,UAE,149848,9290,18301.3,537,106414.01
2024-02-02,TikTok Ads,Video,E-commerce,USA,112294,9039,8948.61,99,20435.34
2024-02-02,Google Ads,Video,SaaS,Canada,44420,1066,3880.24,44,2655.91
2024-02-02,TikTok Ads,Shopping,Healthcare,Australia,196605,14922,26262.72,757,181823.28
2024-02-03,Meta Ads,Shopping,EdTech,UK,48271,1182,2293.08,30,2529.5
2024-02-03,TikTok Ads,Display,Healthcare,USA,150227,8683,14761.1,315,86296.01
2024-02-03,TikTok Ads,Shopping,Healthcare,Australia,23043,1534,2086.24,119,6284.67
2024-02-03,Meta Ads,Display,EdTech,Australia,76095,2031,3026.19,135,33172.87
2024-02-04,Meta Ads,Display,Healthcare,Australia,124004,2083,3145.33,49,9959.37
2024-02-04,Google Ads,Search,SaaS,USA,137290,5011,7817.16,323,28440.57
2024-02-04,Google Ads,Search,EdTech,UAE,167198,5132,11854.92,120,19874.34
2024-02-04,Meta Ads,Shopping,E-commerce,Germany,82665,2521,1613.44,182,48413.75
2024-02-05,TikTok Ads,Video,SaaS,UK,123680,8373,5023.8,263,12412.26
2024-02-05,TikTok Ads,Search,E-commerce,UK,168322,4965,4518.15,228,49052.14
2024-02-05,Google Ads,Shopping,EdTech,USA,12045,255,515.1,4,161.02
2024-02-05,TikTok Ads,Shopping,Fintech,UK,90443,3789,2159.73,94,16003.58
2024-02-05,Meta Ads,Video,SaaS,India,145510,5805,6037.2,166,30713.7
2024-02-06,Google Ads,Video,EdTech,UK,73591,2649,7496.67,161,45161.9
2024-02-06,Meta Ads,Display,EdTech,India,184541,3063,5268.36,215,16566.88
2024-02-06,Google Ads,Display,E-commerce,UAE,79525,2298,3630.84,119,21777.03
2024-02-06,TikTok Ads,Display,SaaS,Australia,53709,2868,2552.52,222,47503.54
2024-02-06,Google Ads,Shopping,E-commerce,Germany,102409,3389,12132.62,149,31253.87
2024-02-06,Meta Ads,Video,E-commerce,UAE,92469,2487,1492.2,48,14164.35
2024-02-06,Meta Ads,Display,Healthcare,UK,58164,936,823.68,13,1791.65
2024-02-06,Google Ads,Display,Healthcare,USA,51678,2966,7652.28,192,21240.9
2024-02-06,TikTok Ads,Video,E-commerce,Canada,48475,3160,2401.6,124,19990.89
2024-02-07,Meta Ads,Display,Healthcare,UK,69429,2430,3863.7,119,21584.01
2024-02-07,Meta Ads,Shopping,Healthcare,Canada,101019,2515,4250.35,72,11353.12
2024-02-07,Google Ads,Search,Fintech,Germany,163349,7906,21188.08,360,44353.83
2024-02-07,Google Ads,Display,E-commerce,Germany,96931,5844,6545.28,297,47765.4
2024-02-07,TikTok Ads,Display,Fintech,Germany,103029,6830,3551.6,148,14545.74
2024-02-07,TikTok Ads,Search,Fintech,Germany,108806,5070,1825.2,279,26787.94
2024-02-08,Meta Ads,Search,EdTech,UK,151480,2514,5178.84,72,4076.45
2024-02-08,Google Ads,Shopping,SaaS,UK,10574,389,1007.51,6,908.68
2024-02-08,TikTok Ads,Search,Healthcare,India,17911,1148,1320.2,52,3388.21
2024-02-08,TikTok Ads,Search,EdTech,USA,128900,10273,8629.32,238,11417.91
2024-02-08,TikTok Ads,Display,Fintech,Germany,113994,4320,3326.4,142,25985.24
2024-02-09,Meta Ads,Video,E-commerce,India,170413,3936,2794.56,63,12671.79
2024-02-10,Meta Ads,Video,Healthcare,UK,141313,4762,5000.1,207,26737.15
2024-02-10,Google Ads,Shopping,Healthcare,Australia,167717,4142,7165.66,71,15937.54
2024-02-10,Google Ads,Shopping,E-commerce,UAE,24198,1214,1638.9,60,11611.94
2024-02-10,TikTok Ads,Shopping,SaaS,USA,116709,6640,13080.8,304,83458.18
2024-02-11,TikTok Ads,Display,EdTech,UK,77467,3300,3333.0,180,42781.66
2024-02-11,Google Ads,Shopping,Fintech,UAE,29016,1088,2241.28,56,9936.27
2024-02-11,TikTok Ads,Video,EdTech,India,157625,9457,4539.36,534,147520.8
2024-02-11,Google Ads,Search,SaaS,UK,137156,5253,11293.95,280,75085.66
2024-02-11,Meta Ads,Video,SaaS,UAE,92986,2082,3601.86,108,6838.55
2024-02-12,TikTok Ads,Display,Healthcare,UAE,74285,2094,1319.22,92,18972.8
2024-02-12,TikTok Ads,Video,Fintech,USA,41497,3299,2144.35,112,6822.75
2024-02-13,Google Ads,Search,E-commerce,Germany,188276,11277,27966.96,554,89376.47
2024-02-13,Google Ads,Search,SaaS,Australia,153865,5785,9834.5,139,16979.34
2024-02-13,Meta Ads,Video,E-commerce,India,57299,1186,1601.1,25,5383.27
2024-02-13,Google Ads,Video,E-commerce,UK,48766,1731,1800.24,44,12477.84
2024-02-14,TikTok Ads,Video,Healthcare,Canada,79553,2712,840.72,170,16973.79
2024-02-14,Meta Ads,Video,SaaS,India,83137,2045,2065.45,37,1798.59
2024-02-14,Google Ads,Display,Healthcare,UK,25497,1142,2101.28,75,18551.01
2024-02-15,Google Ads,Shopping,Fintech,Germany,39754,2007,4676.31,108,6981.98
2024-02-15,Google Ads,Search,Fintech,Germany,30835,925,1813.0,14,3805.56
2024-02-15,Meta Ads,Display,EdTech,Germany,67167,1907,2727.01,114,20596.75
2024-02-16,TikTok Ads,Display,Fintech,Australia,141447,9873,13723.47,588,86774.51
2024-02-16,Meta Ads,Shopping,Fintech,Canada,35755,654,1046.4,40,11846.71
2024-02-16,Google Ads,Shopping,SaaS,UAE,50206,2399,4845.98,163,5571.38
2024-02-16,Google Ads,Display,EdTech,Canada,197974,4375,10631.25,347,73971.79
2024-02-16,Meta Ads,Shopping,Fintech,USA,178553,7213,16445.64,556,50559.85
2024-02-16,Meta Ads,Video,Healthcare,Canada,133088,5243,8808.24,226,48389.85
2024-02-16,Google Ads,Video,E-commerce,Germany,180069,5780,8496.6,272,74348.97
2024-02-16,Meta Ads,Shopping,Fintech,India,19040,784,1513.12,39,5591.9
2024-02-16,Meta Ads,Video,EdTech,UK,165408,1670,2171.0,80,9561.0
2024-02-16,Google Ads,Video,Healthcare,Australia,83702,3900,8502.0,60,11812.78
2024-02-16,Google Ads,Search,EdTech,UAE,90794,5638,17477.8,217,54642.18
2024-02-17,Google Ads,Search,SaaS,Germany,142244,4935,14706.3,127,34307.21
2024-02-17,TikTok Ads,Shopping,Healthcare,Canada,130438,7721,12353.6,353,70310.53
2024-02-17,Google Ads,Shopping,Fintech,Germany,78402,4531,12460.25,105,25620.07
2024-02-17,Meta Ads,Video,E-commerce,Germany,16094,616,1410.64,40,8923.08
2024-02-17,TikTok Ads,Search,Fintech,Germany,113297,9675,17511.75,380,16593.87
2024-02-17,Meta Ads,Video,E-commerce,Canada,150631,5648,10957.12,111,21671.9
2024-02-17,Google Ads,Video,SaaS,Germany,133027,7808,9838.08,153,22193.12
2024-02-17,Meta Ads,Video,E-commerce,USA,118566,3711,4193.43,58,14643.53
2024-02-17,Google Ads,Video,Fintech,UAE,15046,400,472.0,4,142.71
2024-02-17,Meta Ads,Display,Fintech,Germany,104926,3273,4844.04,65,12449.27
2024-02-17,Google Ads,Video,SaaS,Canada,150213,5242,16512.3,332,64497.69
2024-02-18,Meta Ads,Display,SaaS,Canada,187051,6284,12630.84,493,94906.46
2024-02-18,Google Ads,Video,Fintech,Australia,42823,1588,4716.36,33,3266.45
2024-02-18,TikTok Ads,Search,EdTech,Australia,173050,8565,5909.85,414,118511.79
2024-02-18,Meta Ads,Search,SaaS,UAE,161738,5046,8376.36,258,29417.67
2024-02-18,Meta Ads,Search,E-commerce,India,32410,693,1240.47,21,678.51
2024-02-18,Meta Ads,Display,EdTech,India,8671,156,227.76,7,1461.2
2024-02-18,TikTok Ads,Display,SaaS,USA,194291,9248,9987.84,669,34771.85
2024-02-18,Google Ads,Video,Fintech,Canada,165470,4136,3391.52,56,12113.24
2024-02-19,Google Ads,Display,Fintech,Germany,37101,2166,6389.7,45,3868.37
2024-02-19,Google Ads,Display,Fintech,Australia,126635,4254,5657.82,313,28110.42
2024-02-19,Google Ads,Search,EdTech,UAE,95218,2199,5255.61,103,17399.72
2024-02-19,Google Ads,Search,E-commerce,Australia,102366,2589,4116.51,148,35080.15
2024-02-19,Google Ads,Video,Fintech,UAE,30545,1728,2989.44,51,3408.09
2024-02-20,Meta Ads,Search,EdTech,Australia,180399,6025,4217.5,191,17456.79
2024-02-20,Google Ads,Shopping,Fintech,UK,162489,4500,13635.0,184,54944.54
2024-02-20,Meta Ads,Display,SaaS,UK,148859,3840,6912.0,250,22027.39
2024-02-20,Google Ads,Shopping,SaaS,Canada,147727,7534,17554.22,206,23788.98
2024-02-20,Google Ads,Shopping,Fintech,UK,89431,3300,4851.0,56,9891.88
2024-02-21,Google Ads,Search,Healthcare,India,13083,707,1682.66,41,10442.74
2024-02-21,Google Ads,Search,SaaS,UAE,195067,9129,8672.55,128,24006.78
2024-02-21,Google Ads,Display,EdTech,India,136585,5668,16380.52,120,20065.19
2024-02-22,TikTok Ads,Search,Healthcare,UK,91807,4489,8663.77,107,3369.53
2024-02-22,Meta Ads,Display,EdTech,India,19743,619,773.75,41,9219.46
2024-02-22,Meta Ads,Search,EdTech,USA,63952,1451,3250.24,86,25126.44
2024-02-22,Google Ads,Display,SaaS,Germany,31885,1613,1629.13,67,19023.45
2024-02-22,Google Ads,Video,SaaS,India,87570,3415,8776.55,236,46705.85
2024-02-23,Google Ads,Video,E-commerce,Canada,189935,10161,15139.89,615,31748.86
2024-02-23,TikTok Ads,Video,SaaS,UAE,56672,2397,1150.56,138,33165.74
2024-02-23,Google Ads,Search,Fintech,USA,21198,703,1377.88,28,6226.83
2024-02-23,Google Ads,Shopping,SaaS,UAE,143723,4254,4849.56,281,41783.61
2024-02-23,TikTok Ads,Shopping,SaaS,India,179036,11046,9610.02,787,127296.84
2024-02-23,Meta Ads,Video,Healthcare,UAE,146964,5246,10439.54,131,7261.59
2024-02-24,Meta Ads,Video,SaaS,Canada,128629,2109,2720.61,168,49256.62
2024-02-24,TikTok Ads,Video,SaaS,India,68176,2679,3321.96,173,19288.91
2024-02-24,TikTok Ads,Display,E-commerce,India,133422,8458,6935.56,663,111531.65
2024-02-25,Google Ads,Search,EdTech,Canada,100386,5250,5145.0,254,73673.45
2024-02-25,Meta Ads,Search,E-commerce,UK,129494,1631,3490.34,108,28288.04
2024-02-25,Google Ads,Video,Fintech,India,66477,2718,7773.48,160,16856.48
2024-02-25,Google Ads,Video,SaaS,India,85196,2572,5889.88,34,8900.58
2024-02-25,Google Ads,Video,Fintech,Australia,33695,1277,3677.76,89,25041.09
2024-02-25,TikTok Ads,Search,Fintech,UAE,57006,2981,3279.1,192,40566.37
2024-02-26,Meta Ads,Shopping,SaaS,USA,125871,3083,5302.76,185,27759.15
2024-02-26,TikTok Ads,Search,E-commerce,Canada,109794,3886,6256.46,73,9808.76
2024-02-27,Google Ads,Display,EdTech,India,35355,961,2133.42,68,6145.22
2024-02-27,Google Ads,Search,Healthcare,USA,108751,5459,7806.37,345,24740.95
2024-02-27,TikTok Ads,Search,SaaS,UAE,7637,415,639.1,10,1137.83
2024-02-27,TikTok Ads,Display,SaaS,UK,133303,4225,6464.25,139,8508.68
2024-02-27,Google Ads,Video,SaaS,USA,104794,5920,21667.2,359,21837.83
2024-02-27,TikTok Ads,Search,SaaS,UAE,195972,13796,6898.0,645,54701.33
2024-02-27,Google Ads,Display,Healthcare,USA,45880,2817,3211.38,62,2770.83
2024-02-27,Google Ads,Display,Fintech,Germany,104821,4224,5744.64,307,89314.07
2024-02-27,TikTok Ads,Display,E-commerce,Germany,7978,557,339.77,34,6686.61
2024-02-28,Meta Ads,Search,EdTech,Germany,133583,3954,2570.1,255,31756.12
2024-02-28,Meta Ads,Shopping,Healthcare,Canada,119598,1064,2128.0,64,17165.43
2024-02-28,Google Ads,Search,EdTech,USA,116560,4312,12030.48,198,51746.42
2024-02-28,TikTok Ads,Shopping,SaaS,UAE,50819,3206,3045.7,222,24319.42
2024-02-28,Meta Ads,Video,SaaS,Germany,56209,1405,3357.95,94,20195.05
2024-02-28,Google Ads,Search,Fintech,India,28267,1769,4581.71,33,1968.12
2024-02-28,TikTok Ads,Search,SaaS,USA,96045,5820,1804.2,235,47063.54
2024-02-29,Google Ads,Shopping,SaaS,USA,116472,4006,10736.08,291,78428.38
2024-02-29,Google Ads,Shopping,Fintech,Germany,167982,7693,20309.52,193,10777.69
2024-02-29,Google Ads,Display,EdTech,Canada,92923,1932,6124.44,32,1855.78
2024-02-29,Meta Ads,Search,E-commerce,UAE,36127,610,677.1,45,6906.4
